Random seed: 1581581196

t	hormone
0	999
1	999
2	999
3	999
4	999
5	999
6	822
7	596
8	510
9	476
10	463
11	457
12	455
13	454
14	453
15	453
16	453
17	453
18	453
19	453
20	453
21	453
22	453
23	453
24	453
25	453
26	453
27	453
28	453
29	453
30	453
31	453
32	453
33	453
34	453
35	453
36	453
37	453
38	453
39	453
40	453
41	453
42	453
43	453
44	453
45	453
46	453
47	453
48	453
49	453
50	453
51	453
52	453
53	453
54	453
55	453
56	453
57	453
58	453
59	453
60	453
61	453
62	453
63	453
64	453
65	453
66	453
67	453
68	453
69	453
70	453
71	453
72	453
73	453
74	453
75	453
76	453
77	453
78	453
79	453
80	453
81	453
82	453
83	453
84	453
85	453
86	453
87	453
88	453
89	453
90	453
91	453
92	453
93	453
94	453
95	453
96	453
97	453
98	453
99	453
100	453
101	453
102	453
103	453
104	453
105	453
106	453
107	453
108	453
109	453
110	453
111	453
112	453
113	453
114	453
115	453
116	453
117	453
118	453
119	453
120	453
121	453
122	453
123	453
124	453
125	453
126	453
127	453
128	453
129	453
130	453
131	453
132	453
133	453
134	453
135	453
136	453
137	453
138	453
139	453
140	453
141	453
142	453
143	453
144	453
145	453
146	453
147	453
148	453
149	453
150	453
151	453
152	453
153	453
154	453
155	453
156	453
157	453
158	453
159	453
160	453
161	453
162	453
163	453
164	453
165	453
166	453
167	453
168	453
169	453
170	453
171	453
172	453
173	453
174	453
175	453
176	453
177	453
178	453
179	453
180	453
181	453
182	453
183	453
184	453
185	453
186	453
187	453
188	453
189	453
190	453
191	453
192	453
193	453
194	453
195	453
196	453
197	453
198	453
199	453

nIterations	2381


PARAMETER VALUES
pLeave: 	0.18
pArrive: 	0.02
pAttack: 	0.5
maxI: 	1000000
maxT: 	200
maxH: 	1000
